CUUBGLLEV                                                                   2BGBULGARIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUBGNBULGARIAN LEV                                                         2BGBULGARIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUBHDBAHRAINI DINAR                                                        3BHBAHRAIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUBIFBURUNDI FRANC                                                         2BIBURUNDI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUBMDBERMUDIAN DOLLAR                                                      2BMBERMUDA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUBNDBRUNEI DOLLAR                                                         2BNBRUNEI DARUSSALAM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
CUUBOBBOLIVIANO                                                             2BOBOLIVIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUBOVMVDOL                                                                 2BOBOLIVIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUBRLBRAZILIAN REAL                                                        2BRBRAZIL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUBSDBAHAMIAN DOLLAR                                                       2BSBAHAMAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUBTNNGULTRUM                                                              2BTBHUTAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUBWPPULA                                                                  2BWBOTSWANA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUBYBBELARUSSIAN RUBLE                                                     0BYBELARUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUBYRBELARUSSIAN RUBLE (NEW)                                               0BYBELARUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUBZDBELIZE DOLLAR                                                         2BZBELIZE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUCADCANADIAN DOLLAR                                                       2CACANADA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUCDFFRANC CONGOLAIS                                                       2CDCONGO, THE DEMOCRATIC REPUBLIC OF THE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUCHFSWISS FRANC                                                           2CHSWITZERLAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUCHFSWISS FRANC                                                           2LILIECHTENSTEIN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CUUCLFUNIDADES DE FOMENTO                                                   0CLCHILE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUCLPCHILEAN PESO                                                          0CLCHILE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUCNYYUAN RENMINBI                                                         2CNCHINA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUCOPCOLOMBIAN PESO                                                        2COCOLOMBIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUCRCCOSTA RICAN COLON                                                     2CRCOSTA RICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUCUPCUBAN PESO                                                            2CUCUBA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUCVECAPE VERDE ESCUDO                                                     2CVCAPE VERDE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUCYPCYPRUS POUND                                                          2CYCYPRUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUCZKCZECH KORUNA                                                          2CZCZECH REPUBLIC                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
