MODIFICATION FLAG	RECORD KEY	GROUP KEY	ASSET CATEGORY	OWNER KEY	OWNER BIC	ISO CURRENCY CODE	CORRESPONDENT BIC	ACCOUNT NUMBER	PREFERRED	INTERMEDIARY 1 BIC	INTERMEDIARY 1 AC NUMBER	INTERMEDIARY 2 BIC	INTERMEDIARY 2 AC NUMBER	INSTITUTION NAME	CITY	CPS	COUNTRY NAME	ISO COUNTRY CODE	START DATE	STOP DATE	FIELD A	FIELD B
A	SI000000COIG	SI000000COIG	COPA	BD0000000HS3	BSCHBRSPXXX	CAD	TDOMCATTTOR	0360-01-2043233						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COIH	SI000000COIH	WHLS	BD0000000HS3	BSCHBRSPXXX	CAD	TDOMCATTTOR	0360-01-2043233						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COIK	SI000000COIK	WHLS	BD0000000HS3	BSCHBRSPXXX	CHF	CRESCHZZ80A	0835-0926429-83-010						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COIL	SI000000COIL	WHLS	BD0000000HS3	BSCHBRSPXXX	DKK	NDEADKKKXXX	5000006214						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COIO	SI000000COIO	COPA	BD0000000HS3	BSCHBRSPXXX	EUR	BCITITMMXXX	100100003512						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COIX	SI000000COIX	COPA	BD0000000HS3	BSCHBRSPXXX	EUR	UNCRITMMDIR	09958716900						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJ1	SI000000COJ1	WHLS	BD0000000HS3	BSCHBRSPXXX	GBP	RBOSGB2LXXX	10004797						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJ2	SI000000COJ2	COPA	BD0000000HS3	BSCHBRSPXXX	JPY	BOTKJPJTXXX	6530468479						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJ3	SI000000COJ3	WHLS	BD0000000HS3	BSCHBRSPXXX	JPY	BOTKJPJTXXX	6530468479						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJ9	SI000000COJ9	COPA	BD0000000HS3	BSCHBRSPXXX	MXN	BMSXMXMMXXX	2288						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJA	SI000000COJA	WHLS	BD0000000HS3	BSCHBRSPXXX	MXN	BMSXMXMMXXX	2288						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJD	SI000000COJD	COPA	BD0000000HS3	BSCHBRSPXXX	NOK	NDEANOKKXXX	60010203468						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJE	SI000000COJE	WHLS	BD0000000HS3	BSCHBRSPXXX	SEK	ESSESESSXXX	52018571613						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJF	SI000000COJF	COPA	BD0000000HS3	BSCHBRSPXXX	SEK	NDEASESSXXX	39527702747SEK						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJI	SI000000COJI	COPA	BD0000000HS3	BSCHBRSPXXX	SGD	SCBLSGSGXXX	0102270376						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJJ	SI000000COJJ	WHLS	BD0000000HS3	BSCHBRSPXXX	SGD	SCBLSGSGXXX	0102270376						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJL	SI000000COJL	COPA	BD0000000HS3	BSCHBRSPXXX	TRY	RBOSGB2LXXX	SABRSPLO-TRYC 160034-00444441						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJM	SI000000COJM	WHLS	BD0000000HS3	BSCHBRSPXXX	TRY	RBOSGB2LXXX	SABRSPLO-TRYC 160034-00444441						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJP	SI000000COJP	WHLS	BD0000000HS3	BSCHBRSPXXX	USD	SCBLUS33XXX	3544034644001						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJS	SI000000COJS	COPA	BD0000000HS3	BSCHBRSPXXX	USD	BKTRUS33XXX	04437525						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJT	SI000000COJT	COPA	BD0000000HS3	BSCHBRSPXXX	USD	CHASUS33XXX	000000753923333						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI000000COJU	SI000000COJU	COPA	BD0000000HS3	BSCHBRSPXXX	USD	IRVTUS3NXXX	8033039558						BANCO SANTANDER (BRASIL) S.A.	SAO PAULO		BRAZIL	BR	20120329			
A	SI00000001TY	SI00000001TY	ANYY	BD0000000HS5	BSCHCHGGXXX	AUD	ANZBAU3MXXX	700146-00001						BANCO SANTANDER (SUISSE) S.A.	GENEVA		SWITZERLAND	CH				
A	SI0000000PNG	SI0000000PNG	ANYY	BD0000000HS5	BSCHCHGGXXX	EUR	DEUTDEFFXXX	100 9416397 00						BANCO SANTANDER (SUISSE) S.A.	GENEVA		SWITZERLAND	CH				
A	SI00000010O6	SI00000010O6	ANYY	BD0000000HS5	BSCHCHGGXXX	GBP	RBOSGB2LXXX	10003014						BANCO SANTANDER (SUISSE) S.A.	GENEVA		SWITZERLAND	CH				
A	SI0000001GZT	SI0000001GZT	ANYY	BD0000000HS5	BSCHCHGGXXX	JPY	BOTKJPJTXXX	653-0433314						BANCO SANTANDER (SUISSE) S.A.	GENEVA		SWITZERLAND	CH				
A	SI00000029VJ	SI00000029VJ	ANYY	BD0000000HS5	BSCHCHGGXXX	USD	BKTRUS33XXX	04-413-400						BANCO SANTANDER (SUISSE) S.A.	GENEVA		SWITZERLAND	CH				
A	SI000000ASZP	SI000000ASZP	ANYY	BD0000000HS5	BSCHCHGGXXX	CAD	ROYCCAT3IMM	095912074664						BANCO SANTANDER (SUISSE) S.A.	GENEVA		SWITZERLAND	CH				
A	SI000000ASZQ	SI000000ASZQ	ANYY	BD0000000HS5	BSCHCHGGXXX	NZD	BKNZNZ22XXX	2174640000						BANCO SANTANDER (SUISSE) S.A.	GENEVA		SWITZERLAND	CH				
A	SI00000001TZ	SI00000001TZ	ANYY	BD0000000HSN	BSCHCLRMXXX	AUD	NATAAU33XXX	1803071617500						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI0000000BD1	SI0000000BD1	ANYY	BD0000000HSN	BSCHCLRMXXX	CHF	UBSWCHZH80A	02300000073072050000V						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI0000000KKS	SI0000000KKS	ANYY	BD0000000HSN	BSCHCLRMXXX	DKK	DABADKKKXXX	3996014746						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI0000000V57	SI0000000V57	ANYY	BD0000000HSN	BSCHCLRMXXX	EUR	BSCHESMMXXX	14881						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI00000010O9	SI00000010O9	ANYY	BD0000000HSN	BSCHCLRMXXX	GBP	RBOSGB2LXXX	10005068						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI0000001S37	SI0000001S37	ANYY	BD0000000HSN	BSCHCLRMXXX	NOK	DNBANOKKXXX	70010203005						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI00000020NJ	SI00000020NJ	ANYY	BD0000000HSN	BSCHCLRMXXX	SEK	HANDSESSXXX	40554309						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHJ	SI000000ARHJ	ANYY	BD0000000HSN	BSCHCLRMXXX	CAD	BOFMCAM2XXX	3144-1039-527						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHK	SI000000ARHK	ANYY	BD0000000HSN	BSCHCLRMXXX	CAD	TDOMCATTTOR	360-01-2000466						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHL	SI000000ARHL	ANYY	BD0000000HSN	BSCHCLRMXXX	EUR	COBADEFFXXX	400872217500 EUR						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHM	SI000000ARHM	ANYY	BD0000000HSN	BSCHCLRMXXX	EUR	SOLADESTXXX	2804228						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHN	SI000000ARHN	ANYY	BD0000000HSN	BSCHCLRMXXX	GBP	ALEIGB22XXX	6970516						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHO	SI000000ARHO	ANYY	BD0000000HSN	BSCHCLRMXXX	JPY	SCBLJPJTXXX	2149161110						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHP	SI000000ARHP	ANYY	BD0000000HSN	BSCHCLRMXXX	USD	BSCHESMMXXX	15426						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHQ	SI000000ARHQ	ANYY	BD0000000HSN	BSCHCLRMXXX	USD	PNBPUS3NNYC	2000192290409						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHR	SI000000ARHR	ANYY	BD0000000HSN	BSCHCLRMXXX	USD	CITIUS33XXX	36071716						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHS	SI000000ARHS	ANYY	BD0000000HSN	BSCHCLRMXXX	USD	BOFAUS3NXXX	6550227480						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI000000ARHT	SI000000ARHT	ANYY	BD0000000HSN	BSCHCLRMXXX	USD	SCBLUS33XXX	3544032367001						BANCO SANTANDER CHILE	SANTIAGO		CHILE	CL				
A	SI0000008UUG	SI0000008UUG	WHLS	BD0000000HSU	BSCHDEFFXXX	AUD	WPACAU2SXXX	BSR0010970						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUH	SI0000008UUH	WHLS	BD0000000HSU	BSCHDEFFXXX	CAD	ROYCCAT2XXX	95912052843						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUI	SI0000008UUI	WHLS	BD0000000HSU	BSCHDEFFXXX	CHF	UBSWCHZH80A	0.0230000002301205R						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUJ	SI0000008UUJ	WHLS	BD0000000HSU	BSCHDEFFXXX	CZK	COBACZPXXXX	133120663000						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUK	SI0000008UUK	WHLS	BD0000000HSU	BSCHDEFFXXX	DKK	NDEADKKKXXX	5000417495						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUM	SI0000008UUM	WHLS	BD0000000HSU	BSCHDEFFXXX	GBP	RBOSGB2LXXX	12045466						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUN	SI0000008UUN	WHLS	BD0000000HSU	BSCHDEFFXXX	HKD	HSBCHKHHXXX	567664651001						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUO	SI0000008UUO	WHLS	BD0000000HSU	BSCHDEFFXXX	HUF	CIBHHUHBXXX	567664651001						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUP	SI0000008UUP	WHLS	BD0000000HSU	BSCHDEFFXXX	JPY	BOTKJPJTXXX	653-0403822						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUQ	SI0000008UUQ	WHLS	BD0000000HSU	BSCHDEFFXXX	NOK	NDEANOKKXXX	60010238172						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUR	SI0000008UUR	WHLS	BD0000000HSU	BSCHDEFFXXX	NZD	BKNZNZ22XXX	2140710000						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUS	SI0000008UUS	WHLS	BD0000000HSU	BSCHDEFFXXX	PLN	PKOPPLPWXXX	PL82124000013111328111120301						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUT	SI0000008UUT	WHLS	BD0000000HSU	BSCHDEFFXXX	SEK	HANDSESSXXX	40787699						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUU	SI0000008UUU	WHLS	BD0000000HSU	BSCHDEFFXXX	SGD	HSBCSGSGXXX	147181937001						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUV	SI0000008UUV	WHLS	BD0000000HSU	BSCHDEFFXXX	USD	BKTRUS33XXX	4086200						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI0000008UUW	SI0000008UUW	WHLS	BD0000000HSU	BSCHDEFFXXX	ZAR	FIRNZAJJXXX	9011641						BANCO SANTANDER S.A.	FRANKFURT AM MAIN		GERMANY	DE				
A	SI000000CHR9	SI000000CHR9	WHLS	BD0000000HSV	BSCHESMGXXX	PLN	WBKPPLPPXXX	PL88109000040000001182380001						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES	20120416			
A	SI000000CO9I	SI000000CO9I	WHLS	BD0000000HSV	BSCHESMGXXX	AUD	ANZBAU3MXXX	920587AUD00001						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9J	SI000000CO9J	WHLS	BD0000000HSV	BSCHESMGXXX	CAD	ROYCCAT2XXX	095911040989						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9K	SI000000CO9K	WHLS	BD0000000HSV	BSCHESMGXXX	CHF	CRESCHZZXXX	CH2604835152538933000						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9L	SI000000CO9L	WHLS	BD0000000HSV	BSCHESMGXXX	DKK	NDEADKKKXXX	DK8720005000020771						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9M	SI000000CO9M	WHLS	BD0000000HSV	BSCHESMGXXX	EUR	BSCHESMMXXX	ES3500495493362919999999						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9O	SI000000CO9O	WHLS	BD0000000HSV	BSCHESMGXXX	GBP	RBOSGB2LXXX	GB68RBOS16003410008075						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9P	SI000000CO9P	WHLS	BD0000000HSV	BSCHESMGXXX	HKD	CITIHKHXXXX	5857305029						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9Q	SI000000CO9Q	WHLS	BD0000000HSV	BSCHESMGXXX	ILS	POALILITXXX	IL430126000000000250745						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9R	SI000000CO9R	WHLS	BD0000000HSV	BSCHESMGXXX	JPY	BOTKJPJTXXX	6530469165						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9S	SI000000CO9S	WHLS	BD0000000HSV	BSCHESMGXXX	MXN	BMSXMXMMXXX	1010336						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9T	SI000000CO9T	WHLS	BD0000000HSV	BSCHESMGXXX	NOK	NDEANOKKXXX	NO8660010229564						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9U	SI000000CO9U	WHLS	BD0000000HSV	BSCHESMGXXX	NZD	ANZBNZ22XXX	920587NZD00001						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9V	SI000000CO9V	WHLS	BD0000000HSV	BSCHESMGXXX	PLN	PKOPPLPWXXX	32124000013111517111120401						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9W	SI000000CO9W	WHLS	BD0000000HSV	BSCHESMGXXX	SEK	HANDSESSXXX	SE5960000000000040356329						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9X	SI000000CO9X	WHLS	BD0000000HSV	BSCHESMGXXX	SGD	OCBCSGSGXXX	517553517001						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9Y	SI000000CO9Y	WHLS	BD0000000HSV	BSCHESMGXXX	USD	CITIUS33XXX	36267436						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI000000CO9Z	SI000000CO9Z	WHLS	BD0000000HSV	BSCHESMGXXX	ZAR	ABSAZAJJXXX	188813ZAR671201						BANCO SANTANDER S.A CIUDAD GRUPO SANTANDER.EDF.PAMPA	MADRID		SPAIN	ES				
A	SI00000001U1	SI00000001U1	COPA	BD0000000HSX	BSCHESMMXXX	AUD	ANZBAU3MXXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI000000068G	SI000000068G	COPA	BD0000000HSX	BSCHESMMXXX	CAD	ROYCCAT2XXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI0000000BD7	SI0000000BD7	COPA	BD0000000HSX	BSCHESMMXXX	CHF	UBSWCHZH80A							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI0000000KKU	SI0000000KKU	COPA	BD0000000HSX	BSCHESMMXXX	DKK	DABADKKKXXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI00000010OF	SI00000010OF	COPA	BD0000000HSX	BSCHESMMXXX	GBP	RBOSGB2LXXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI00000019E4	SI00000019E4	COPA	BD0000000HSX	BSCHESMMXXX	HKD	HSBCHKHHXXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI0000001BZC	SI0000001BZC	COPA	BD0000000HSX	BSCHESMMXXX	HUF	MKKBHUHBXXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI0000001H02	SI0000001H02	COPA	BD0000000HSX	BSCHESMMXXX	JPY	BOTKJPJTXXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI0000001S3A	SI0000001S3A	COPA	BD0000000HSX	BSCHESMMXXX	NOK	DNBANOKKXXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI0000001X93	SI0000001X93	COPA	BD0000000HSX	BSCHESMMXXX	PLN	PKOPPLPWXXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES		20120415		
A	SI00000020NM	SI00000020NM	COPA	BD0000000HSX	BSCHESMMXXX	SEK	ESSESESSXXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI00000029VQ	SI00000029VQ	COPA	BD0000000HSX	BSCHESMMXXX	USD	CHASUS33XXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI0000008UKF	SI0000008UKF	COPA	BD0000000HSX	BSCHESMMXXX	GBP	MIDLGB22XXX							BANCO SANTANDER S.A.	MADRID		SPAIN	ES				
A	SI000000ARKR	SI000000ARKR	WHLS	BD0000000HSX	BSCHESMMXXX	ARS	BSCHARBAXXX	1578977						BANCO SANTANDER S.A.	MADRID		SPAIN	ES	20110401			
A	SI000000ARKS	SI000000ARKS	WHLS	BD0000000HSX	BSCHESMMXXX	AUD	ANZBAU3MXXX	212654 / 00001						BANCO SANTANDER S.A.	MADRID		SPAIN	ES	20110401			
A	SI000000ARKT	SI000000ARKT	WHLS	BD0000000HSX	BSCHESMMXXX	CAD	ROYCCAT2XXX	95911042928						BANCO SANTANDER S.A.	MADRID		SPAIN	ES	20110401			
A	SI000000ARKU	SI000000ARKU	WHLS	BD0000000HSX	BSCHESMMXXX	CHF	CRESCHZZ80A	CH1404835097382063000						BANCO SANTANDER S.A.	MADRID		SPAIN	ES	20110401			
A	SI000000ARKV	SI000000ARKV	WHLS	BD0000000HSX	BSCHESMMXXX	CZK	CEKOCZPPXXX	CZ4303000080100966543273						BANCO SANTANDER S.A.	MADRID		SPAIN	ES	20110401			
A	SI000000ARKW	SI000000ARKW	WHLS	BD0000000HSX	BSCHESMMXXX	DKK	NDEADKKKXXX	DK4020005000402730						BANCO SANTANDER S.A.	MADRID		SPAIN	ES	20110401			
A	SI000000ARKY	SI000000ARKY	WHLS	BD0000000HSX	BSCHESMMXXX	GBP	RBOSGB2LXXX	GB06RBOS16003412022717						BANCO SANTANDER S.A.	MADRID		SPAIN	ES	20110401			
A	SI000000ARKZ	SI000000ARKZ	WHLS	BD0000000HSX	BSCHESMMXXX	HKD	CITIHKHXXXX	5-857305-002						BANCO SANTANDER S.A.	MADRID		SPAIN	ES	20110401			
