MODIFICATION FLAG	RECORD KEY	INSTITUTION NAME	COUNTRY NAME	ISO COUNTRY CODE	IBAN ISO COUNTRY CODE	IBAN BIC	ROUTING BIC	IBAN NATIONAL ID	SERVICE CONTEXT	FIELD A	FIELD B
A	IB00000000I2	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11870	SEPA		
A	IB00000000J3	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11920	SEPA		
A	IB00000000J5	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11890	SEPA		
A	IB00000000JC	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11910	SEPA		
A	IB00000000JG	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11990	SEPA		
A	IB00000000JM	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	12800	SEPA		
A	IB000000013N	UNICREDIT BANK AUSTRIA AG	AUSTRIA	AT	AT	BKAUATWWXXX	BKAUATWWXXX	11940	SEPA		
A	IB00000005FE	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ80A	CRESCHZZ80A	04835	SEPA		
A	IB00000005FI	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10D	CRESCHZZ10D	04427	SEPA		
A	IB00000005FJ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10E	CRESCHZZ10E	04429	SEPA		
A	IB00000005FK	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10N	CRESCHZZ10N	04589	SEPA		
A	IB00000005FM	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ11A	CRESCHZZ11A	04507	SEPA		
A	IB00000005FP	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12C	CRESCHZZ12C	04278	SEPA		
A	IB00000005FS	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12G	CRESCHZZ12G	04272	SEPA		
A	IB00000005FT	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12H	CRESCHZZ12H	04266	SEPA		
A	IB00000005FV	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12K	CRESCHZZ12K	04267	SEPA		
A	IB00000005FX	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12S	CRESCHZZ12S	04156	SEPA		
A	IB00000005FZ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12U	CRESCHZZ12U	04747	SEPA		
A	IB00000005G4	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ18D	CRESCHZZ18D	04503	SEPA		
A	IB00000005G6	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ19B	CRESCHZZ19B	04480	SEPA		
A	IB00000005G8	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ19E	CRESCHZZ19E	04680	SEPA		
A	IB00000005G9	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ20A	CRESCHZZ20A	04531	SEPA		
A	IB00000005GA	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ23A	CRESCHZZ23A	04163	SEPA		
A	IB00000005GC	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ25G	CRESCHZZ25G	04334	SEPA		
A	IB00000005GD	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ28A	CRESCHZZ28A	04190	SEPA		
A	IB00000005GF	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30M	CRESCHZZ30M	04565	SEPA		
A	IB00000005GH	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ34A	CRESCHZZ34A	04150	SEPA		
A	IB00000005GU	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ41H	CRESCHZZ41H	04580	SEPA		
A	IB00000005GV	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ41Q	CRESCHZZ41Q	04596	SEPA		
A	IB00000005H1	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ49A	CRESCHZZ49A	04343	SEPA		
A	IB00000005H6	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ60G	CRESCHZZ60G	04213	SEPA		
A	IB00000005HA	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ62C	CRESCHZZ62C	04706	SEPA		
A	IB00000005HC	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ63K	CRESCHZZ63K	04047	SEPA		
A	IB00000005HG	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ65A	CRESCHZZ65A	04090	SEPA		
A	IB00000005HO	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ68C	CRESCHZZ68C	04490	SEPA		
A	IB00000005HP	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ68D	CRESCHZZ68D	04177	SEPA		
A	IB00000005HQ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ68E	CRESCHZZ68E	04413	SEPA		
A	IB00000005HS	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ69B	CRESCHZZ69B	04455	SEPA		
A	IB00000005HT	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ69L	CRESCHZZ69L	04573	SEPA		
A	IB00000005HU	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ69N	CRESCHZZ69N	04469	SEPA		
A	IB00000005ID	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ80K	CRESCHZZ80K	04868	SEPA		
A	IB00000005IL	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ80W	CRESCHZZ80W	04840	SEPA		
A	IB00000005IM	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ81A	CRESCHZZ81A	04598	SEPA		
A	IB00000005IQ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ83A	CRESCHZZ83A	04088	SEPA		
A	IB00000005IS	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ84A	CRESCHZZ84A	04791	SEPA		
A	IB00000005IZ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ86F	CRESCHZZ86F	04784	SEPA		
A	IB00000005J3	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ87D	CRESCHZZ87D	04486	SEPA		
A	IB00000005J5	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ88A	CRESCHZZ88A	04716	SEPA		
A	IB00000005JD	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ94F	CRESCHZZ94F	04644	SEPA		
A	IB00000005JG	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ95A	CRESCHZZ95A	04787	SEPA		
A	IB00000005JH	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZXXX	CRESCHZZXXX	04878	SEPA		
A	IB00000005XO	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10C	CRESCHZZ10C	00577	SEPA		
A	IB00000005XP	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10F	CRESCHZZ10F	05304	SEPA		
A	IB00000005XQ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10H	CRESCHZZ10H	05303	SEPA		
A	IB00000005XR	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10R	CRESCHZZ10R	00525	SEPA		
A	IB00000005XU	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12L	CRESCHZZ12L	00518	SEPA		
A	IB00000005XV	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12M	CRESCHZZ12M	00519	SEPA		
A	IB00000005XX	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12O	CRESCHZZ12O	00584	SEPA		
A	IB00000005XY	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12R	CRESCHZZ12R	05362	SEPA		
A	IB00000005XZ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12Y	CRESCHZZ12Y	05316	SEPA		
A	IB00000005Y0	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12Z	CRESCHZZ12Z	05317	SEPA		
A	IB00000005Y1	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ13A	CRESCHZZ13A	05334	SEPA		
A	IB00000005Y2	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ14R	CRESCHZZ14R	05349	SEPA		
A	IB00000005Y6	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ17R	CRESCHZZ17R	00517	SEPA		
A	IB00000005Y7	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ18R	CRESCHZZ18R	05328	SEPA		
A	IB00000005YD	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ25C	CRESCHZZ25C	05327	SEPA		
A	IB00000005YE	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ25R	CRESCHZZ25R	00508	SEPA		
A	IB00000005YL	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ28R	CRESCHZZ28R	00513	SEPA		
A	IB00000005YP	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30R	CRESCHZZ30R	00507	SEPA		
A	IB00000005YQ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30S	CRESCHZZ30S	00582	SEPA		
A	IB00000005YW	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ36R	CRESCHZZ36R	05356	SEPA		
A	IB00000005YX	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ39R	CRESCHZZ39R	05371	SEPA		
A	IB00000005YY	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ39S	CRESCHZZ39S	05335	SEPA		
A	IB00000005YZ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ39T	CRESCHZZ39T	05312	SEPA		
A	IB00000005Z0	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ40D	CRESCHZZ40D	05363	SEPA		
A	IB00000005Z2	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ40R	CRESCHZZ40R	00504	SEPA		
A	IB00000005Z3	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ40S	CRESCHZZ40S	00505	SEPA		
A	IB00000005Z7	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ44R	CRESCHZZ44R	05366	SEPA		
A	IB00000005Z8	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ45R	CRESCHZZ45R	00544	SEPA		
A	IB00000005Z9	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ46R	CRESCHZZ46R	00571	SEPA		
A	IB00000005ZC	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ60F	CRESCHZZ60F	00523	SEPA		
A	IB00000005ZD	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ60R	CRESCHZZ60R	00528	SEPA		
A	IB00000005ZF	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ60T	CRESCHZZ60T	05358	SEPA		
A	IB00000005ZI	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ63R	CRESCHZZ63R	05352	SEPA		
A	IB00000005ZL	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ64R	CRESCHZZ64R	05355	SEPA		
A	IB00000005ZM	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ64S	CRESCHZZ64S	00502	SEPA		
A	IB00000005ZS	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ66R	CRESCHZZ66R	00527	SEPA		
A	IB00000005ZT	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ66S	CRESCHZZ66S	00516	SEPA		
A	IB00000005ZV	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ68R	CRESCHZZ68R	00512	SEPA		
A	IB00000005ZY	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ69G	CRESCHZZ69G	00580	SEPA		
A	IB0000000601	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ70S	CRESCHZZ70S	05325	SEPA		
A	IB0000000602	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ75R	CRESCHZZ75R	00542	SEPA		
A	IB0000000603	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ80I	CRESCHZZ80I	00557	SEPA		
A	IB0000000605	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ80O	CRESCHZZ80O	05205	SEPA		
A	IB0000000606	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ80Q	CRESCHZZ80Q	00554	SEPA		
A	IB0000000607	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ80S	CRESCHZZ80S	00555	SEPA		
A	IB000000060A	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ80Y	CRESCHZZ80Y	00561	SEPA		
A	IB000000060B	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ80Z	CRESCHZZ80Z	00556	SEPA		
A	IB000000060D	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ81R	CRESCHZZ81R	00568	SEPA		
A	IB000000060F	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ82R	CRESCHZZ82R	00543	SEPA		
A	IB000000060G	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ82S	CRESCHZZ82S	00522	SEPA		
A	IB000000060K	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ85R	CRESCHZZ85R	00540	SEPA		
A	IB000000060L	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ85S	CRESCHZZ85S	00550	SEPA		
A	IB000000060M	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ86D	CRESCHZZ86D	05326	SEPA		
A	IB000000060O	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ86R	CRESCHZZ86R	00576	SEPA		
A	IB000000060R	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ87S	CRESCHZZ87S	00520	SEPA		
A	IB000000060U	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ88S	CRESCHZZ88S	00521	SEPA		
A	IB000000060V	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ88T	CRESCHZZ88T	00549	SEPA		
A	IB000000060X	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ90C	CRESCHZZ90C	05344	SEPA		
A	IB000000060Y	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ90R	CRESCHZZ90R	00539	SEPA		
A	IB000000060Z	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ94R	CRESCHZZ94R	00565	SEPA		
A	IB000000061F	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ81Z	CRESCHZZ81Z	05288	SEPA		
A	IB000000078R	CREDIT SUISSE AG (FORMERLY CLARIDEN LEU AG)	SWITZERLAND	CH	CH	CLLECHZZXXX	CLLECHZZXXX	05065	SEPA		
A	IB00000007AW	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZXXX	CRESCHZZXXX	04892	SEPA		
A	IB00000007T2	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10A	CRESCHZZ10A	04424	SEPA		
A	IB00000007T3	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10A	CRESCHZZ10A	04425	SEPA		
A	IB00000007T4	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10A	CRESCHZZ10A	04428	SEPA		
A	IB00000007T5	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10P	CRESCHZZ10P	04605	SEPA		
A	IB00000007T6	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ10S	CRESCHZZ10S	00573	SEPA		
A	IB00000007T7	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ11R	CRESCHZZ11R	05376	SEPA		
A	IB00000007T8	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12A	CRESCHZZ12A	04251	SEPA		
A	IB00000007T9	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12B	CRESCHZZ12B	04254	SEPA		
A	IB00000007TA	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12C	CRESCHZZ12C	04279	SEPA		
A	IB00000007TB	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12D	CRESCHZZ12D	04271	SEPA		
A	IB00000007TC	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12E	CRESCHZZ12E	04274	SEPA		
A	IB00000007TD	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12G	CRESCHZZ12G	04280	SEPA		
A	IB00000007TE	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12I	CRESCHZZ12I	04281	SEPA		
A	IB00000007TF	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12N	CRESCHZZ12N	05359	SEPA		
A	IB00000007TG	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12P	CRESCHZZ12P	04748	SEPA		
A	IB00000007TH	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ12T	CRESCHZZ12T	04541	SEPA		
A	IB00000007TI	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ14A	CRESCHZZ14A	04806	SEPA		
A	IB00000007TJ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ15C	CRESCHZZ15C	00534	SEPA		
A	IB00000007TK	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ16A	CRESCHZZ16A	00511	SEPA		
A	IB00000007TL	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ16B	CRESCHZZ16B	00537	SEPA		
A	IB00000007TM	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ16C	CRESCHZZ16C	00510	SEPA		
A	IB00000007TN	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ16C	CRESCHZZ16C	04147	SEPA		
A	IB00000007TO	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ17A	CRESCHZZ17A	04235	SEPA		
A	IB00000007TP	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ18A	CRESCHZZ18A	04750	SEPA		
A	IB00000007TQ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ18L	CRESCHZZ18L	04500	SEPA		
A	IB00000007TR	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ18R	CRESCHZZ18R	05332	SEPA		
A	IB00000007TS	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ18S	CRESCHZZ18S	00531	SEPA		
A	IB00000007TT	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ18S	CRESCHZZ18S	00566	SEPA		
A	IB00000007TU	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ19D	CRESCHZZ19D	04744	SEPA		
A	IB00000007TV	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ19R	CRESCHZZ19R	05302	SEPA		
A	IB00000007TW	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ19R	CRESCHZZ19R	05322	SEPA		
A	IB00000007TX	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ19R	CRESCHZZ19R	05361	SEPA		
A	IB00000007TY	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ19S	CRESCHZZ19S	00570	SEPA		
A	IB00000007TZ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ20A	CRESCHZZ20A	04631	SEPA		
A	IB00000007U0	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ20R	CRESCHZZ20R	00587	SEPA		
A	IB00000007U1	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ23R	CRESCHZZ23R	00569	SEPA		
A	IB00000007U2	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ25A	CRESCHZZ25A	04006	SEPA		
A	IB00000007U3	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ25A	CRESCHZZ25A	04112	SEPA		
A	IB00000007U4	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ25S	CRESCHZZ25S	05342	SEPA		
A	IB00000007U5	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ26B	CRESCHZZ26B	00541	SEPA		
A	IB00000007U6	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ27F	CRESCHZZ27F	00532	SEPA		
A	IB00000007U7	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ27M	CRESCHZZ27M	00538	SEPA		
A	IB00000007U8	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ27N	CRESCHZZ27N	00545	SEPA		
A	IB00000007U9	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ27O	CRESCHZZ27O	00547	SEPA		
A	IB00000007UA	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ28A	CRESCHZZ28A	04585	SEPA		
A	IB00000007UB	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ29A	CRESCHZZ29A	00535	SEPA		
A	IB00000007UC	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30A	CRESCHZZ30A	04094	SEPA		
A	IB00000007UD	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30A	CRESCHZZ30A	04396	SEPA		
A	IB00000007UE	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30A	CRESCHZZ30A	04763	SEPA		
A	IB00000007UF	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30B	CRESCHZZ30B	04097	SEPA		
A	IB00000007UG	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30E	CRESCHZZ30E	05333	SEPA		
A	IB00000007UH	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30F	CRESCHZZ30F	05323	SEPA		
A	IB00000007UI	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30N	CRESCHZZ30N	04520	SEPA		
A	IB00000007UJ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30R	CRESCHZZ30R	05209	SEPA		
A	IB00000007UK	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ30T	CRESCHZZ30T	05374	SEPA		
A	IB00000007UL	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ31A	CRESCHZZ31A	05375	SEPA		
A	IB00000007UM	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ32A	CRESCHZZ32A	05364	SEPA		
A	IB00000007UN	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ32B	CRESCHZZ32B	00533	SEPA		
A	IB00000007UO	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ34R	CRESCHZZ34R	00575	SEPA		
A	IB00000007UP	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ36A	CRESCHZZ36A	04721	SEPA		
A	IB00000007UQ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ37L	CRESCHZZ37L	04339	SEPA		
A	IB00000007UR	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ38A	CRESCHZZ38A	04337	SEPA		
A	IB00000007US	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ38A	CRESCHZZ38A	04367	SEPA		
A	IB00000007UT	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ38A	CRESCHZZ38A	04488	SEPA		
A	IB00000007UU	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ39A	CRESCHZZ39A	04132	SEPA		
A	IB00000007UV	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ39E	CRESCHZZ39E	04811	SEPA		
A	IB00000007UW	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ39L	CRESCHZZ39L	04678	SEPA		
A	IB00000007UX	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ39N	CRESCHZZ39N	04182	SEPA		
A	IB00000007UY	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ39T	CRESCHZZ39T	05339	SEPA		
A	IB00000007UZ	CREDIT SUISSE AG	SWITZERLAND	CH	CH	CRESCHZZ40A	CRESCHZZ40A	04060	SEPA		
